"CECC.Record.Number","detention_length_base","censored_base","detention_length_extra","censored_extra","dyear","male","age","bigcity","serious_issue","mongol","tibetan","uyghur","other","buddhist","christian","cultist","falun_gong","muslim","religious_leader","student","activist_ngo","journalist_publishing","dangerous_professions"
"2022-00066",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00088",23.425436146795,1,23.425436146795,1,2021,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00541",23.491145645103,1,23.491145645103,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00036",23.7539836383349,1,23.7539836383349,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00037",23.7539836383349,1,23.7539836383349,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00035",8.50938003088346,0,8.50938003088346,0,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2009-00428",23.7868383874889,1,23.7868383874889,1,2021,0,62.8438356164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009-00408",23.7868383874889,1,23.7868383874889,1,2021,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00525",1.97128494923941,0,1.97128494923941,0,2021,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00540",8.73936327496139,0,8.73936327496139,0,2021,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00077",NA,1,NA,1,2021,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00075",NA,1,NA,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00074",NA,1,NA,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00076",NA,1,NA,1,2021,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2021-00524",2.10270394585537,0,2.10270394585537,0,2021,1,45.972602739726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00029",7.0309163189539,0,7.0309163189539,0,2021,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00030",6.01241909518021,0,6.01241909518021,0,2021,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00028",7.0309163189539,0,7.0309163189539,0,2021,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00027",7.95084929526563,0,7.95084929526563,0,2021,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00025",24.3782238722607,1,24.3782238722607,1,2021,1,45.0958904109589,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00026",8.44367053257548,0,8.44367053257548,0,2021,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00032",24.6082071163387,1,24.6082071163387,1,2021,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00033",24.6082071163387,1,24.6082071163387,1,2021,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00031",24.6082071163387,1,24.6082071163387,1,2021,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00034",24.6082071163387,1,24.6082071163387,1,2021,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00513",23.9511121332589,0,23.9511121332589,0,2021,1,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00016",25.0024641061865,1,59.9599172060321,0,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
